"Category","HV"
-83.909963117728,-109.53667750148476
-83.909963117728,-75.36772498980906
-83.909963117728,-47.51293969110776
-83.909963117728,-23.017852592278224
-83.909963117728,0
-83.909963117728,23.017852592278224
-83.909963117728,47.51293969110776
-83.909963117728,75.36772498980906
-83.909963117728,109.53667750148476
-57.735026918962575,-96.89087958742365
-57.735026918962575,-66.66666666666666
-57.735026918962575,-42.02766254612062
-57.735026918962575,-20.360485955485238
-57.735026918962575,0
-57.735026918962575,20.360485955485238
-57.735026918962575,42.02766254612062
-57.735026918962575,66.66666666666666
-57.735026918962575,96.89087958742365
-36.39702342662024,-89.29511763915971
-36.39702342662024,-61.44033234045841
-36.39702342662024,-38.73290331489431
-36.39702342662024,-18.76432535577374
-36.39702342662024,0
-36.39702342662024,18.76432535577374
-36.39702342662024,38.73290331489431
-36.39702342662024,61.44033234045841
-36.39702342662024,89.29511763915971
-17.632698070846498,-85.20440955209236
-17.632698070846498,-58.62568277145445
-17.632698070846498,-36.95850618081907
-17.632698070846498,-17.90471086048397
-17.632698070846498,0
-17.632698070846498,17.90471086048397
-17.632698070846498,36.95850618081907
-17.632698070846498,58.62568277145445
-17.632698070846498,85.20440955209236
0,-83.909963117728
0,-57.735026918962575
0,-36.39702342662024
0,-17.632698070846498
0,0
0,17.632698070846498
0,36.39702342662024
0,57.735026918962575
0,83.909963117728
17.632698070846498,-85.20440955209236
17.632698070846498,-58.62568277145445
17.632698070846498,-36.95850618081907
17.632698070846498,-17.90471086048397
17.632698070846498,0
17.632698070846498,17.90471086048397
17.632698070846498,36.95850618081907
17.632698070846498,58.62568277145445
17.632698070846498,85.20440955209236
36.39702342662024,-89.29511763915971
36.39702342662024,-61.44033234045841
36.39702342662024,-38.73290331489431
36.39702342662024,-18.76432535577374
36.39702342662024,0
36.39702342662024,18.76432535577374
36.39702342662024,38.73290331489431
36.39702342662024,61.44033234045841
36.39702342662024,89.29511763915971
57.735026918962575,-96.89087958742365
57.735026918962575,-66.66666666666666
57.735026918962575,-42.02766254612062
57.735026918962575,-20.360485955485238
57.735026918962575,0
57.735026918962575,20.360485955485238
57.735026918962575,42.02766254612062
57.735026918962575,66.66666666666666
57.735026918962575,96.89087958742365
83.909963117728,-109.53667750148476
83.909963117728,-75.36772498980906
83.909963117728,-47.51293969110776
83.909963117728,-23.017852592278224
83.909963117728,0
83.909963117728,23.017852592278224
83.909963117728,47.51293969110776
83.909963117728,75.36772498980906
83.909963117728,109.53667750148476
